"tick";"Accuracy_run0";"Accuracy_run1";"Accuracy_run2";"Accuracy_run3";"Accuracy_run4";"Accuracy_run5";"Accuracy_run6";"Accuracy_run7";"Accuracy_run8";"Accuracy_run9";"Time for detection_run0";"Time for detection_run1";"Time for detection_run2";"Time for detection_run3";"Time for detection_run4";"Time for detection_run5";"Time for detection_run6";"Time for detection_run7";"Time for detection_run8";"Time for detection_run9"
"200";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"220";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"240";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"260";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"280";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"300";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"320";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"340";"0.0";"0.0";"0.0";"0.125";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"16.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"360";"0.0";"0.0";"0.0";"0.15151515151515152";"0.0";"0.0";"0.0";"0.41666666666666663";"0.54320987654321";"0.24";"0.0";"0.0";"0.0";"21.565656565656564";"0.0";"0.0";"0.0";"17.791666666666664";"77.1358024691358";"25.051428571428573"
"380";"0.16666666666666666";"0.0";"0.0";"0.10833333333333334";"0.0";"0.1168831168831169";"0.0";;"0.20833333333333331";;"27.44444444444445";"0.0";"0.0";"17.791666666666664";"0.0";"16.83116883116883";"0.0";;"23.900641025641033";
"400";"0.10101010101010101";"0.08333333333333333";"0.0";"0.2074175824175824";"0.0";"0.03461538461538462";"0.2326007326007326";;;;"34.24242424242424";"0.25";"0.0";"20.173076923076923";"0.0";"14.230769230769228";"8.351648351648352";;;
